"dateadded","total_tested","total_confirmed_cases"
2021-01-02,109,3
2021-01-01,324,17
2020-12-31,164,13
2020-12-30,304,21
2020-12-29,254,16
2020-12-28,110,7
2020-12-27,221,22
2020-12-26,54,1
2020-12-25,200,12
2020-12-24,620,32
2020-12-23,259,5
2020-12-22,505,40
2020-12-21,396,22
2020-12-20,365,24
2020-12-19,199,6
2020-12-18,450,18
2020-12-17,476,29
2020-12-16,184,10
2020-12-15,292,28
2020-12-14,170,11
2020-12-13,284,20
2020-12-12,261,16
2020-12-11,288,30
2020-12-10,156,15
2020-12-09,335,25
2020-12-08,253,18
2020-12-07,471,39
2020-12-06,273,27
2020-12-05,253,27
2020-12-04,396,43
2020-12-03,336,46
2020-12-02,377,48
2020-12-01,251,39
2020-11-30,406,49
2020-11-29,527,43
2020-11-28,208,24
2020-11-27,342,27
2020-11-26,570,42
2020-11-25,616,47
2020-11-24,381,27
2020-11-23,342,31
2020-11-22,537,24
2020-11-21,683,62
2020-11-20,759,51
2020-11-19,530,20
2020-11-18,554,54
2020-11-17,382,29
2020-11-16,332,30
2020-11-15,396,26
2020-11-14,177,23
2020-11-13,387,55
2020-11-12,402,48
2020-11-11,376,34
2020-11-10,217,25
2020-11-09,281,40
2020-11-08,251,40
2020-11-07,263,53
2020-11-06,276,58
2020-11-05,269,45
2020-11-04,260,48
2020-11-03,141,36
2020-11-02,183,33
2020-11-01,176,40
2020-10-31,180,29
2020-10-30,114,9
2020-10-29,201,30
2020-10-28,110,10
2020-10-27,73,7
2020-10-26,110,14
2020-10-25,86,13
2020-10-24,85,15
2020-10-23,94,12
2020-10-22,94,10
2020-10-21,116,9
2020-10-20,92,6
2020-10-19,69,11
2020-10-18,103,4
2020-10-17,90,17
2020-10-16,82,3
2020-10-15,97,7
2020-10-14,78,9
2020-10-13,86,3
2020-10-12,63,2
2020-10-11,85,5
2020-10-10,120,2
2020-10-09,77,3
2020-10-08,120,8
2020-10-07,125,5
2020-10-06,92,11
2020-10-05,60,3
2020-10-04,55,3
2020-10-03,90,8
2020-10-02,72,5
2020-10-01,83,4
2020-09-30,78,4
2020-09-29,95,2
2020-09-28,38,0
2020-09-27,52,1
2020-09-26,73,5
2020-09-25,62,4
2020-09-24,97,2
2020-09-23,74,6
2020-09-22,12,1
2020-09-21,5,0
2020-09-20,6,0
2020-09-19,13,1
2020-09-18,7,0
2020-09-17,17,1
2020-09-16,6,0
2020-09-15,4,0
2020-09-14,6,0
2020-09-13,22,2
2020-09-12,13,0
2020-09-11,7,0
2020-09-10,11,0
2020-09-09,4,0
2020-09-08,0,0
2020-09-07,5,0
2020-09-06,18,0
2020-09-05,15,0
2020-09-04,15,1
2020-09-03,19,0
2020-09-02,11,1
2020-09-01,11,0
2020-08-31,10,0
2020-08-30,12,0
2020-08-29,12,0
2020-08-28,14,1
2020-08-27,19,1
2020-08-26,6,0
2020-08-25,4,0
2020-08-24,13,0
2020-08-23,8,0
2020-08-22,10,0
2020-08-21,15,0
2020-08-20,25,0
2020-08-19,8,0
2020-08-18,10,0
2020-08-17,7,0
2020-08-16,10,0
2020-08-15,11,0
2020-08-14,6,0
2020-08-13,12,0
2020-08-12,3,0
2020-08-11,4,0
2020-08-10,3,0
2020-08-09,18,1
2020-08-08,7,0
2020-08-07,12,0
2020-08-06,12,0
2020-08-05,8,0
2020-08-04,19,1
2020-08-03,2,1
2020-08-02,24,0
2020-08-01,36,1
2020-07-31,30,0
2020-07-30,37,0
2020-07-29,41,1
2020-07-28,24,2
2020-07-27,21,1
2020-07-26,35,1
2020-07-25,52,1
